,"人力資源主要指標",
,,,,,,,,,,,,""
統計期,總人口數(千人),15歲以上民間人口(千人),勞動力(千人),就業人數(千人),失業人數(千人),15歲以上民間人口占總人口數(%),勞動力占總人口數(%),勞動力參與率(%),就業人口占總人口數(%),就業人口占15歲以上民間人口(%),就業人口占勞動力(%),失業率(%)
110年12月,23230.0,20139.0,11914.0,11480.0,433.0,86.69,51.29,59.16,49.42,57.01,96.36,3.64
111年1月,23207.0,20119.0,11905.0,11474.0,430.0,86.69,51.3,59.17,49.44,57.03,96.39,3.61
111年2月,23180.0,20099.0,11893.0,11458.0,434.0,86.71,51.31,59.17,49.43,57.01,96.35,3.65
111年3月,23140.0,20063.0,11875.0,11440.0,435.0,86.71,51.32,59.19,49.44,57.02,96.34,3.66
111年4月,23088.0,20020.0,11844.0,11415.0,429.0,86.71,51.3,59.16,49.44,57.02,96.38,3.62
111年5月,23051.0,19992.0,11805.0,11371.0,434.0,86.73,51.21,59.05,49.33,56.88,96.32,3.68
111年6月,23037.0,19983.0,11815.0,11372.0,442.0,86.74,51.29,59.12,49.36,56.91,96.26,3.74
111年7月,23034.0,19982.0,11845.0,11397.0,448.0,86.75,51.43,59.28,49.48,57.04,96.22,3.78
111年8月,23038.0,19988.0,11851.0,11402.0,449.0,86.76,51.44,59.29,49.49,57.04,96.21,3.79
111年9月,23042.0,19994.0,11830.0,11397.0,433.0,86.77,51.34,59.17,49.46,57.0,96.34,3.66
111年10月,23050.0,20008.0,11841.0,11410.0,431.0,86.8,51.37,59.18,49.5,57.03,96.36,3.64
111年11月,23068.0,20030.0,11858.0,11430.0,428.0,86.83,51.41,59.2,49.55,57.06,96.39,3.61
111年12月,23094.0,20059.0,11869.0,11451.0,418.0,86.86,51.4,59.17,49.58,57.09,96.48,3.52
112年1月,23128.0,20090.0,11887.0,11471.0,416.0,86.87,51.4,59.17,49.6,57.1,96.5,3.5
112年2月,23152.0,20117.0,11906.0,11485.0,420.0,86.89,51.43,59.18,49.61,57.09,96.47,3.53
112年3月,23167.0,20132.0,11919.0,11494.0,424.0,86.9,51.45,59.2,49.62,57.09,96.44,3.56
112年4月,23184.0,20148.0,11924.0,11506.0,417.0,86.91,51.43,59.18,49.63,57.11,96.5,3.5
112年5月,23197.0,20160.0,11920.0,11507.0,412.0,86.91,51.38,59.13,49.61,57.08,96.54,3.46
112年6月,23210.0,20170.0,11935.0,11518.0,417.0,86.9,51.42,59.17,49.63,57.1,96.51,3.49
112年7月,23226.0,20181.0,11969.0,11543.0,426.0,86.89,51.53,59.31,49.7,57.2,96.44,3.56
112年8月,23239.0,20188.0,11972.0,11546.0,426.0,86.87,51.52,59.3,49.68,57.19,96.44,3.56
112年9月,23244.0,20194.0,11957.0,11541.0,416.0,86.88,51.44,59.21,49.65,57.15,96.52,3.48
112年10月,23250.0,20203.0,11969.0,11558.0,411.0,86.9,51.48,59.24,49.71,57.21,96.57,3.43
112年11月,23255.0,20211.0,11977.0,11577.0,400.0,86.91,51.5,59.26,49.78,57.28,96.66,3.34
112年12月,23260.0,20219.0,11982.0,11583.0,399.0,86.93,51.51,59.26,49.8,57.29,96.67,3.33
113年1月,23262.0,20227.0,11984.0,11587.0,397.0,86.95,51.52,59.25,49.81,57.28,96.69,3.31
113年2月,23261.0,20230.0,11978.0,11572.0,406.0,86.97,51.49,59.21,49.75,57.2,96.61,3.39
113年3月,23259.0,20233.0,11986.0,11581.0,405.0,86.99,51.53,59.24,49.79,57.24,96.62,3.38
113年4月,23258.0,20235.0,11982.0,11579.0,403.0,87.0,51.52,59.21,49.79,57.22,96.64,3.36
113年5月,23256.0,20238.0,11980.0,11580.0,400.0,87.02,51.51,59.2,49.79,57.22,96.66,3.34
113年6月,23255.0,20242.0,11994.0,11588.0,406.0,87.04,51.57,59.25,49.83,57.25,96.61,3.39
113年7月,23253.0,20245.0,12026.0,11611.0,415.0,87.06,51.72,59.4,49.93,57.35,96.55,3.45
113年8月,23250.0,20249.0,12032.0,11613.0,419.0,87.09,51.75,59.42,49.95,57.35,96.52,3.48
113年9月,23248.0,20254.0,12017.0,11604.0,412.0,87.12,51.69,59.33,49.92,57.29,96.57,3.43
113年10月,23246.0,20257.0,12017.0,11609.0,408.0,87.14,51.7,59.32,49.94,57.31,96.6,3.4
