模型,變數,係數,標準誤,t值,p值,資料說明
整體電腦型彩券,const,16.9245,1.0251,16.5095,0.0,模型截距
整體電腦型彩券,CPI年增率,0.3558,0.4227,0.8417,0.4011,由 CPI總指數 與去年同月計算；CPI總指數已與同學資料 CPI指數一致
整體電腦型彩券,失業率年變動(pp),-5.1194,1.7243,-2.9689,0.0034,由當月失業率減去年同月失業率；失業率已與同學資料一致
整體電腦型彩券,CCI年變動,-0.0494,0.0446,-1.1094,0.2688,由 CCI 與去年同月差值計算；CCI已對齊同學資料 CCI_國內景氣
整體電腦型彩券,TAIEX年增率(%),0.0041,0.028,0.1464,0.8838,由 TAIEX月平均收盤指數 與去年同月計算；TAIEX已對齊同學資料 TAIEX月均
整體電腦型彩券,連槓獎金(億),1.7178,0.0699,24.5872,0.0,由電腦型彩券最高連槓獎金除以1億元；連槓獎金已對齊同學資料最高累積獎金
整體電腦型彩券,春節,25.7343,1.5512,16.5899,0.0,節慶dummy維持本專案設定；2025-02春節=1，2025-06端午=0
整體電腦型彩券,端午,-1.0348,1.5617,-0.6626,0.5085,節慶dummy維持本專案設定；2025-02春節=1，2025-06端午=0
整體電腦型彩券,中秋,-0.2032,1.5671,-0.1297,0.897,節慶dummy維持本專案設定；2025-02春節=1，2025-06端午=0
