月份,大樂透銷售總額,威力彩銷售總額,今彩539銷售總額,電腦型彩券總銷售額,大樂透銷售注數,威力彩銷售注數,今彩539銷售注數,電腦型彩券總銷售注數,大樂透開獎期數,威力彩開獎期數,今彩539開獎期數,電腦型彩券總開獎期數,大樂透單月最高總獎金,威力彩單月最高總獎金,今彩539單月最高總獎金,當月最高總獎金,大樂透平均每期銷售額,威力彩平均每期銷售額,今彩539平均每期銷售額,電腦型彩券平均每期銷售額
2021-03,932784650,1164409700,1086720600,3183914950,18655693,11644097,21734412,52034202,9,9,27,45,173095831,1018288346,44394700,1018288346,103642738.8888889,129378855.55555557,40248911.11111111,70753665.55555555
2021-04,854291150,546757600,983664850,2384713600,17085823,5467576,19673297,42226696,9,9,26,44,168432754,220240816,41443700,220240816,94921238.8888889,60750844.44444445,37833263.461538464,54198036.36363637
2021-05,708530350,509550800,855996950,2074078100,14170607,5095508,17119939,36386054,8,9,26,43,249578523,388769247,35122300,388769247,88566293.75,56616755.55555555,32922959.615384616,48234374.41860465
2021-06,785745350,516560700,770903000,2073209050,15714907,5165607,15418060,36298574,9,8,26,43,393248628,572623325,31419950,572623325,87305038.8888889,64570087.5,29650115.384615384,48214163.95348837
2021-07,773010300,1489216500,877525900,3139752700,15460206,14892165,17550518,47902889,9,9,27,45,234886949,996246153,31981500,996246153,85890033.33333333,165468500.0,32500959.259259257,69772282.22222222
2021-08,1497893250,5988667800,964917750,8451478800,29957865,59886678,19298355,109142898,9,9,26,44,611643498,3158795257,40627550,3158795257,166432583.33333334,665407533.3333334,37112221.15384615,192079063.63636363
2021-09,1229808150,627228500,921415000,2778451650,24596163,6272285,18428300,49296748,8,9,26,43,321012156,464682119,34521800,464682119,153726018.75,69692055.55555555,35439038.461538464,64615154.65116279
2021-10,976389200,654303700,986711450,2617404350,19527784,6543037,19734229,45805050,9,8,26,43,208340050,625342472,40201850,625342472,108487688.8888889,81787962.5,37950440.384615384,60869868.60465116
2021-11,820751400,515726000,909762200,2246239600,16415028,5157260,18195244,39767532,9,9,26,44,220513113,216821207,35144550,220513113,91194600.0,57302888.88888889,34990853.84615385,51050900.0
2021-12,835370450,605800800,949121300,2390292550,16707409,6058008,18982426,41747843,9,9,27,45,237359394,405986448,37585700,405986448,92818938.8888889,67311200.0,35152640.74074074,53117612.222222224
2022-01,1721525650,1072177100,982676300,3776379050,34430513,10721771,19653526,64805810,11,9,26,46,474059452,777287977,35886600,777287977,156502331.8181818,119130788.8888889,37795242.307692304,82095196.73913044
2022-02,3367008950,2026863900,1015966950,6409839800,67340179,20268639,20319339,107928157,15,8,24,47,423236952,1329326941,41201750,1329326941,224467263.33333337,253357987.5,42331956.25,136379570.21276596
2022-03,872363750,818567200,988495150,2679426100,17447275,8185672,19769903,45402850,9,9,27,45,213650214,581027881,35241750,581027881,96929305.55555557,90951911.1111111,36610931.481481485,59542802.222222224
2022-04,824713000,1435412800,921855800,3181981600,16494260,14354128,18437116,49285504,9,8,26,43,192729985,1049209837,35846050,1049209837,91634777.77777778,179426600.0,35455992.307692304,73999572.09302326
2022-05,993659350,581927200,830303550,2405890100,19873187,5819272,16606071,42298530,9,9,26,44,326941681,451318169,32946050,451318169,110406594.44444443,64658577.777777776,31934751.923076924,54679320.45454545
2022-06,860117150,854976100,833852900,2548946150,17202343,8549761,16677058,42429162,8,9,26,43,156652656,660336408,35376800,660336408,107514643.75,94997344.44444443,32071265.384615384,59277817.44186047
2022-07,793109050,456940000,874403650,2124452700,15862181,4569400,17488073,37919654,9,8,26,43,210353143,229453051,40814550,229453051,88123227.77777778,57117500.0,33630909.615384616,49405876.744186044
2022-08,865787850,576246900,917884750,2359919500,17315757,5762469,18357695,41435921,9,9,27,45,260340999,514582631,41812250,514582631,96198650.0,64027433.333333336,33995731.481481485,52442655.55555555
2022-09,1200675100,902029000,900389600,3003093700,24013502,9020290,18007792,51041584,9,9,26,44,193386008,731981827,37233950,731981827,133408344.44444443,100225444.44444443,34630369.23076923,68252129.54545455
2022-10,981585950,503804000,884104300,2369494250,19631719,5038040,17682086,42351845,8,9,26,43,406867997,248702566,37212950,406867997,122698243.75,55978222.222222224,34004011.538461536,55104517.44186047
2022-11,1133480200,443269600,923706350,2500456150,22669604,4432696,18474127,45576427,9,8,26,43,564769338,198696987,37950850,564769338,125942244.44444443,55408700.0,35527167.307692304,58150143.02325582
2022-12,847802300,567188900,977254450,2392245650,16956046,5671889,19545089,42173024,9,9,27,45,162318012,331903737,38083550,331903737,94200255.55555557,63020988.88888889,36194609.25925926,53161014.44444445
2023-01,3642809900,1237310200,1107642650,5987762750,72856198,12373102,22152853,107382153,17,9,26,52,425715145,592321247,44532700,592321247,214282935.2941177,137478911.1111111,42601640.384615384,115149283.65384616
2023-02,1684410100,1774457200,968596150,4427463450,33688202,17744572,19371923,70804697,12,8,24,44,386840859,975693960,39427700,975693960,140367508.33333334,221807150.0,40358172.916666664,100624169.31818181
2023-03,977583450,1356265700,1032220850,3366070000,19551669,13562657,20644417,53758743,9,9,27,45,430381043,1296649574,35781600,1296649574,108620383.33333331,150696188.8888889,38230401.85185185,74801555.55555555
2023-04,855870700,496689600,904225150,2256785450,17117414,4966896,18084503,40168813,8,8,25,41,309151945,261930359,35712000,309151945,106983837.5,62086200.0,36169006.0,55043547.56097561
2023-05,1100285550,516838000,959145300,2576268850,22005711,5168380,19182906,46356997,9,9,27,45,475178962,236643495,40798300,475178962,122253950.0,57426444.44444445,35523900.0,57250418.88888889
2023-06,1196352350,1031463800,890887200,3118703350,23927047,10314638,17817744,52059429,9,9,26,44,279581409,730831206,32977700,730831206,132928038.8888889,114607088.8888889,34264892.307692304,70879621.5909091
2023-07,888789250,507524300,872942350,2269255900,17775785,5075243,17458847,40309875,8,9,26,43,291308484,205044329,38800050,291308484,111098656.25,56391588.88888889,33574705.76923077,52773393.02325582
2023-08,892333950,708938400,920231150,2521503500,17846679,7089384,18404623,43340686,9,9,27,45,361900071,453746416,38141100,453746416,99148216.66666669,78770933.33333333,34082635.18518519,56033411.11111111
2023-09,1218456350,1670452500,905178400,3794087250,24369127,16704525,18103568,59177220,9,8,26,43,333285133,994564495,36799850,994564495,135384038.8888889,208806562.5,34814553.84615385,88234587.20930232
2023-10,1016025850,749851100,922450700,2688327650,20320517,7498511,18449014,46268042,9,9,26,44,241773849,480408797,37588300,480408797,112891761.1111111,83316788.8888889,35478873.07692308,61098355.68181818
2023-11,1127424350,1265957300,933340900,3326722550,22548487,12659573,18666818,53874878,8,9,26,43,400292051,1019998403,36317800,1019998403,140928043.75,140661922.2222222,35897726.92307692,77365640.69767442
2023-12,1091007550,563109300,930200900,2584317750,21820151,5631093,18604018,46055262,9,8,26,43,157123299,269906589,36698650,269906589,121223061.1111111,70388662.5,35776957.692307696,60100412.79069767
2024-01,914281150,583031200,1027937400,2525249750,18285623,5830312,20558748,44674683,9,9,27,45,150437239,216439933,36050250,216439933,101586794.44444443,64781244.44444445,38071755.55555555,56116661.11111111
2024-02,3929955750,1051837000,1047205350,6028998100,78599115,10518370,20944107,110061592,21,9,25,55,471129718,573648997,35612450,573648997,187140750.0,116870777.77777778,41888214.0,109618147.27272727
2024-03,1037627200,518277300,1031092400,2586996900,20752544,5182773,20621848,46557165,9,8,26,43,355887325,215744031,38000350,355887325,115291911.1111111,64784662.5,39657400.0,60162718.60465116
2024-04,866389750,570454300,972441750,2409285800,17327795,5704543,19448835,42481173,9,9,26,44,226819825,332397176,37906900,332397176,96265527.77777778,63383811.11111111,37401605.76923077,54756495.45454545
2024-05,1056100650,580217800,1000023400,2636341850,21122013,5802178,20000468,46924659,9,9,27,45,236082215,340601290,39984850,340601290,117344516.66666669,64468644.44444445,37037903.7037037,58585374.44444445
2024-06,989676400,578724600,891175200,2459576200,19793528,5787246,17823504,43404278,8,8,25,41,150923162,453611626,37436500,453611626,123709550.0,72340575.0,35647008.0,59989663.414634146
2024-07,928754450,603753400,922378300,2454886150,18575089,6037534,18447566,43060189,9,9,27,45,263236916,358809956,32909700,358809956,103194938.8888889,67083711.11111111,34162159.25925926,54553025.55555555
2024-08,853206100,528214900,961601350,2343022350,17064122,5282149,19232027,41578298,9,9,27,45,210823098,189937920,38581550,210823098,94800677.77777778,58690544.44444445,35614864.81481481,52067163.333333336
2024-09,1262588650,617604500,885105650,2765298800,25251773,6176045,17702113,49129931,8,9,25,42,379058668,404347686,41822050,404347686,157823581.25,68622722.22222222,35404226.0,65840447.61904762
2024-10,1116621300,1001493800,930127750,3048242850,22332426,10014938,18602555,50949919,9,9,27,45,447526549,672320869,35560500,672320869,124069033.33333331,111277088.8888889,34449175.925925925,67738730.0
2024-11,945632750,463823800,933993800,2343450350,18912655,4638238,18679876,42230769,9,8,26,43,329430230,186000397,34188050,329430230,105070305.55555557,57977975.0,35922838.461538464,54498845.34883721
2024-12,907529100,633227100,964694550,2505450750,18150582,6332271,19293891,43776744,9,9,26,44,218224364,408093393,38091850,408093393,100836566.66666669,70358566.66666667,37103636.538461536,56942062.5
2025-01,2843232000,1305852900,1112689500,5261774400,56864640,13058529,22253790,92176959,14,9,28,51,537013182,820214423,38188950,820214423,203088000.0,145094766.66666666,39738910.71428572,103172047.05882353
2025-02,3131702550,4298121400,1085385100,8515209050,62634051,42981214,21707702,127322967,17,8,26,51,554037983,2286939279,38904000,2286939279,184217797.05882353,537265175.0,41745580.76923077,166964883.33333334
2025-03,841125850,592369600,1026814950,2460310400,16822517,5923696,20536299,43282512,8,9,26,43,238406078,218298014,42575550,238406078,105140731.25,65818844.44444445,39492882.692307696,57216520.930232555
2025-04,857428500,601751800,962166400,2421346700,17148570,6017518,19243328,42409416,9,8,26,43,193300544,417778175,34558200,417778175,95269833.33333331,75218975.0,37006400.0,56310388.37209302
2025-05,1013896450,1313173300,964220350,3291290100,20277929,13131733,19284407,52694069,9,9,27,45,240556043,836708029,43108500,836708029,112655161.1111111,145908144.44444445,35711864.81481481,73139780.0
2025-06,1037869450,3249795000,890545450,5178209900,20757389,32497950,17810909,71066248,8,9,25,42,283251721,1888767666,33887000,1888767666,129733681.25,361088333.3333333,35621818.0,123290711.90476191
2025-07,1612870350,502522100,926474650,3041867100,32257407,5025221,18529493,55812121,9,9,27,45,674228587,197243242,40039600,674228587,179207816.66666666,55835788.88888889,34313875.925925925,67597046.66666667
2025-08,924335000,489580800,926756450,2340672250,18486700,4895808,18535129,41917637,9,8,26,43,247213804,287114144,33873650,287114144,102703888.8888889,61197600.0,35644478.84615385,54434238.37209302
2025-09,1217699600,521285900,932534450,2671519950,24353992,5212859,18650689,48217540,9,9,26,44,369073302,249648012,44695097,369073302,135299955.55555555,57920655.55555555,35866709.615384616,60716362.5
2025-10,1525384200,503819200,968278450,2997481850,30507684,5038192,19365569,54911445,9,9,27,45,551306449,243833793,35061350,551306449,169487133.33333334,55979911.11111111,35862164.81481481,66610707.777777776
2025-11,1412283800,433396200,935419600,2781099600,28245676,4333962,18708392,51288030,8,8,25,41,787034787,171631513,38836400,787034787,176535475.0,54174525.0,37416784.0,67831697.56097561
2025-12,996090400,624970300,1053596100,2674656800,19921808,6249703,21071922,47243433,9,9,27,45,261612249,393894871,40006650,393894871,110676711.1111111,69441144.44444445,39022077.777777776,59436817.777777776
