月份,大樂透銷售總額,威力彩銷售總額,今彩539銷售總額,電腦型彩券總銷售額,大樂透銷售注數,威力彩銷售注數,今彩539銷售注數,電腦型彩券總銷售注數,大樂透開獎期數,威力彩開獎期數,今彩539開獎期數,電腦型彩券總開獎期數,大樂透單月最高總獎金,威力彩單月最高總獎金,今彩539單月最高總獎金,當月最高總獎金,大樂透平均每期銷售額,威力彩平均每期銷售額,今彩539平均每期銷售額,電腦型彩券平均每期銷售額
2012-04,1333082750,446061400,945640650,2724784800,26661655,4460614,18912813,50035082,8,9,25,42,381047214,228321338,36111550,381047214,166635343.75,49562377.777777776,37825626.0,64875828.571428575
2012-05,1221881900,484589400,981234150,2687705450,24437638,4845894,19624683,48908215,9,9,27,45,211419772,272931831,33702550,272931831,135764655.55555555,53843266.666666664,36342005.55555555,59726787.777777776
2012-06,1378937200,690632400,987849550,3057419150,27578744,6906324,19756991,54242059,9,8,26,43,434016907,490378742,41431100,490378742,153215244.44444445,86329050.0,37994213.461538464,71102770.93023255
2012-07,2377850700,3750838100,1067602700,7196291500,47557014,37508381,21352054,106417449,9,9,26,44,838138979,1891014845,43140300,1891014845,264205633.33333337,416759788.8888889,41061642.307692304,163552079.54545453
2012-08,1384183200,502207400,1004715500,2891106100,27683664,5022074,20094310,52800048,9,9,27,45,420394461,223956516,34579150,420394461,153798133.33333334,55800822.222222224,37211685.18518519,64246802.222222224
2012-09,1512632800,431943900,957641850,2902218550,30252656,4319439,19152837,53724932,8,8,25,41,570648193,228079602,41196700,570648193,189079100.0,53992987.5,38305674.0,70785818.29268293
2012-10,2195982100,673501500,1067064100,3936547700,43919642,6735015,21341282,71995939,9,9,27,45,1006264514,448332222,46173800,1006264514,243998011.1111111,74833500.0,39520892.59259259,87478837.77777778
2012-11,1141588350,2238773200,967288400,4347649950,22831767,22387732,19345768,64565267,9,9,26,44,195402330,1228181357,36909300,1228181357,126843150.0,248752577.7777778,37203400.0,98810226.13636364
2012-12,1163197350,3003384500,1033846600,5200428450,23263947,30033845,20676932,73974724,8,9,26,43,275568351,2281163003,38103900,2281163003,145399668.75,333709388.8888889,39763330.76923077,120940196.51162791
2013-01,1256253950,571009800,1086426750,2913690500,25125079,5710098,21728535,52563712,9,9,27,45,288202948,253361610,36097000,288202948,139583772.2222222,63445533.333333336,40238027.777777776,64748677.777777776
2013-02,5854569550,565724400,1114998300,7535292250,117091391,5657244,22299966,145048601,11,8,24,43,704271885,257812524,40034400,704271885,532233595.45454544,70715550.0,46458262.5,175239354.6511628
2013-03,1270132600,730041800,1049089650,3049264050,25402652,7300418,20981793,53684863,9,8,26,43,225890748,512642707,40213000,512642707,141125844.44444445,91255225.0,40349601.92307692,70913117.44186047
2013-04,1241395650,3585184900,1017979500,5844560050,24827913,35851849,20359590,81039352,9,9,26,44,292090432,1752264500,36891500,1752264500,137932850.0,398353877.7777778,39153057.692307696,132830910.22727273
2013-05,1418426850,515442300,1027898500,2961767650,28368537,5154423,20557970,54080930,9,9,27,45,466521329,216676414,47262800,466521329,157602983.33333334,57271366.666666664,38070314.81481481,65817058.88888889
2013-06,1526720750,1254465500,918542900,3699729150,30534415,12544655,18370858,61449928,8,8,25,41,637737987,841438436,39836650,841438436,190840093.75,156808187.5,36741716.0,90237296.34146342
