,"消費者物價基本分類指數",
,,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類"
"100年12月",92.09,82.40,100.22,94.98,101.85,92.47,97.14,86.71
"101年1月",92.38,81.90,93.61,95.24,102.06,92.50,98.04,92.03
"101年2月",91.15,80.17,89.79,95.14,102.13,92.29,97.11,87.66
"101年3月",91.27,80.27,87.88,95.33,102.33,92.44,97.54,87.64
"101年4月",92.11,80.03,103.52,95.31,104.33,92.70,97.90,88.56
"101年5月",92.57,81.98,101.39,95.32,103.37,92.61,98.18,88.29
"101年6月",93.16,83.22,98.18,96.70,102.22,92.88,98.46,88.93
"101年7月",93.52,84.05,94.21,96.87,102.58,92.82,99.61,88.51
"101年8月",94.43,86.61,91.17,97.07,104.29,92.81,99.30,88.38
"101年9月",94.12,85.70,89.84,97.30,104.75,92.83,98.43,88.98
"101年10月",94.05,84.46,107.84,96.27,104.74,93.10,98.54,88.17
"101年11月",93.35,83.00,105.05,96.24,104.12,93.25,97.75,88.72
"101年12月",93.58,83.93,101.99,96.26,104.15,93.63,97.64,89.09
"102年1月",93.41,83.84,96.94,96.23,104.42,93.24,97.98,88.84
"102年2月",93.85,82.51,93.12,96.39,105.71,93.42,100.80,92.62
"102年3月",92.50,81.26,91.63,96.48,104.52,93.74,97.59,88.81
"102年4月",93.08,81.89,101.47,96.48,103.95,93.66,98.16,89.10
"102年5月",93.25,83.20,100.03,96.48,103.52,93.78,97.77,88.62
"102年6月",93.72,83.60,97.88,97.54,103.52,93.96,98.26,89.38
"102年7月",93.58,82.98,94.90,97.59,103.23,93.97,99.70,88.74
"102年8月",93.69,83.66,91.21,97.66,103.66,94.00,99.38,88.99
"102年9月",94.92,87.73,89.92,97.80,104.12,93.98,99.17,89.33
"102年10月",94.66,86.93,103.89,96.85,103.47,93.69,98.53,88.28
"102年11月",93.98,85.24,102.09,96.99,103.10,93.90,97.70,88.52
"102年12月",93.89,85.06,99.25,97.07,103.39,94.06,97.37,89.19
"103年1月",94.18,84.67,95.81,96.98,103.47,93.92,98.66,93.44
"103年2月",93.81,84.64,92.52,97.07,103.48,94.18,98.76,89.85
"103年3月",93.99,85.86,90.67,97.18,103.61,94.38,97.51,90.16
"103年4月",94.62,86.11,103.02,97.21,103.35,94.49,98.26,90.41
