月份類別,平均電腦型彩券總銷售額(億),平均大樂透銷售總額(億),平均威力彩銷售總額(億),平均今彩539銷售總額(億)
一般月份,31.69,11.3,11.03,9.36
節慶月份,39.7,20.49,9.77,9.43
