月份,大樂透連槓獎金,大樂透連槓期數,大樂透重置次數,威力彩連槓獎金,威力彩連槓期數,威力彩重置次數,今彩539連槓獎金,今彩539連槓期數,今彩539重置次數,電腦型彩券最高連槓獎金,電腦型彩券連槓期數
2017-03,254876671,8,1,289939740,9,0,36297000,15,12,289939740,32
2017-04,197542382,7,1,424513906,7,1,35937900,12,13,424513906,26
2017-05,405333005,9,0,632893970,8,1,37724400,13,14,632893970,30
2017-06,212175549,7,2,382145077,9,0,39336300,14,12,382145077,30
2017-07,135646274,6,2,638540730,9,0,24744500,11,15,638540730,26
2017-08,248156183,9,0,1350038490,9,0,37565040,16,11,1350038490,34
2017-09,312009229,7,2,150520078,7,1,32754950,13,13,312009229,27
2017-10,380986206,9,0,572669527,9,0,42396897,13,13,572669527,31
2017-11,441424380,7,1,980950036,9,0,35877050,14,12,980950036,30
2017-12,410342978,9,0,1258564597,7,1,39552689,13,13,1258564597,29
2018-01,450504302,7,2,274592034,9,0,38110450,13,14,450504302,29
2018-02,384157333,6,6,734564880,7,1,40728350,12,12,734564880,25
2018-03,185272797,8,1,214098782,7,2,34945550,14,13,214098782,29
2018-04,417725116,8,0,171598473,8,1,36899700,12,13,417725116,28
2018-05,909005336,9,0,271643538,7,2,38579100,16,11,909005336,32
2018-06,160693447,6,3,142768007,7,1,33342650,12,14,160693447,25
2018-07,223933691,9,0,252599581,9,0,37180450,13,13,252599581,31
2018-08,472719077,9,0,416011429,9,0,34573800,12,15,472719077,30
2018-09,200756049,5,3,628218221,7,1,36774400,11,14,628218221,23
2018-10,145999970,7,2,1414086667,9,0,37330300,14,13,1414086667,30
2018-11,246152028,9,0,1863579020,7,2,43865694,14,12,1863579020,30
2018-12,376983672,7,1,184050550,9,0,34081800,14,12,376983672,30
2019-01,320837008,9,0,286157715,7,2,36591200,14,13,320837008,30
2019-02,457609508,10,5,554775269,8,0,35658600,10,14,554775269,28
2019-03,137774702,5,4,157087631,7,1,33466200,13,13,157087631,25
2019-04,222593495,8,1,270481017,8,1,31788400,16,10,270481017,32
2019-05,398178422,8,1,461799104,9,0,33932550,14,13,461799104,31
2019-06,329456969,8,0,758035348,7,1,31642050,11,14,758035348,26
2019-07,459611641,7,2,1483527323,9,0,25798200,13,14,1483527323,29
2019-08,240545324,9,0,2239573397,8,1,32025150,15,12,2239573397,32
2019-09,569737698,8,0,509242034,8,1,24701050,13,12,569737698,29
2019-10,852777990,7,2,708572253,7,2,36479050,16,11,852777990,30
2019-11,247497991,9,0,178386233,8,0,31985600,14,12,247497991,31
2019-12,294561440,8,1,345004119,9,0,36229350,15,11,345004119,32
2020-01,356160843,12,3,410462972,8,1,43391750,17,10,410462972,37
2020-02,479436856,9,1,512251379,7,1,38108950,14,11,512251379,30
2020-03,418426949,9,0,229479120,9,0,38415000,14,12,418426949,32
2020-04,859329281,8,0,383119530,8,1,46138047,9,17,859329281,25
