,電腦型彩券總銷售額(億)
電腦型彩券總銷售額(億),1.0
連槓獎金(億),0.773
威力彩銷售總額(億),0.763
大樂透銷售總額(億),0.697
春節,0.571
今彩539銷售總額(億),0.502
CCI年變動,0.008
TAIEX年增率(%),-0.032
中秋,-0.051
CPI年增率,-0.058
失業率年變動(pp),-0.076
端午,-0.102
