月份,威力彩開獎期數,威力彩銷售總額,威力彩銷售注數,威力彩單月最高總獎金,威力彩平均每期銷售額
2018-07,9,378670400,3786704,252599581,42074488.88888889
2018-08,9,466534100,4665341,416011429,51837122.222222224
2018-09,8,707746400,7077464,628218221,88468300.0
2018-10,9,2263571800,22635718,1414086667,251507977.7777778
2018-11,9,1586632200,15866322,1863579020,176292466.66666666
2018-12,9,432696700,4326967,184050550,48077411.11111111
2019-01,9,491378700,4913787,286157715,54597633.333333336
2019-02,8,842786200,8427862,554775269,105348275.0
2019-03,8,400853000,4008530,157087631,50106625.0
2019-04,9,445904400,4459044,270481017,49544933.333333336
2019-05,9,550056900,5500569,461799104,61117433.333333336
2019-06,8,977348700,9773487,758035348,122168587.5
2019-07,9,2220980500,22209805,1483527323,246775611.1111111
2019-08,9,2503873700,25038737,2239573397,278208188.8888889
2019-09,9,677410500,6774105,509242034,75267833.33333333
2019-10,9,704771300,7047713,708572253,78307922.22222222
2019-11,8,406225700,4062257,178386233,50778212.5
2019-12,9,517204000,5172040,345004119,57467111.11111111
2020-01,9,648339100,6483391,410462972,72037677.77777778
2020-02,8,555640000,5556400,512251379,69455000.0
2020-03,9,438139000,4381390,229479120,48682111.11111111
2020-04,9,496450100,4964501,383119530,55161122.222222224
2020-05,8,706171400,7061714,605799091,88271425.0
2020-06,9,1735297000,17352970,1181584966,192810777.7777778
2020-07,9,6793515600,67935156,3633111827,754835066.6666666
2020-08,9,733347800,7333478,496164371,81483088.8888889
2020-09,8,706452700,7064527,680712721,88306587.5
2020-10,9,596206800,5962068,330970587,66245200.0
2020-11,9,603332400,6033324,411012945,67036933.333333336
2020-12,9,475752600,4757526,210245178,52861400.0
2021-01,8,501638000,5016380,382947870,62704750.0
2021-02,8,1279491300,12794913,793716957,159936412.5
2021-03,9,1164409700,11644097,1018288346,129378855.55555555
2021-04,9,546757600,5467576,220240816,60750844.44444445
2021-05,9,509550800,5095508,388769247,56616755.55555555
2021-06,8,516560700,5165607,572623325,64570087.5
2021-07,9,1489216500,14892165,996246153,165468500.0
2021-08,9,5988667800,59886678,3158795257,665407533.3333334
2021-09,9,627228500,6272285,464682119,69692055.55555555
2021-10,8,654303700,6543037,625342472,81787962.5
2021-11,9,515726000,5157260,216821207,57302888.88888889
2021-12,9,605800800,6058008,405986448,67311200.0
2022-01,9,1072177100,10721771,777287977,119130788.8888889
2022-02,8,2026863900,20268639,1329326941,253357987.5
2022-03,9,818567200,8185672,581027881,90951911.1111111
2022-04,8,1435412800,14354128,1049209837,179426600.0
