月份,大樂透開獎期數,大樂透銷售總額,大樂透銷售注數,大樂透單月最高總獎金,大樂透平均每期銷售額
2018-06,9,995731000,19914620,160693447,110636777.77777778
2018-07,9,801151750,16023035,223933691,89016861.1111111
2018-08,9,1074077550,21481551,472719077,119341950.0
2018-09,8,954910000,19098200,200756049,119363750.0
2018-10,9,783120950,15662419,145999970,87013438.8888889
2018-11,9,800353200,16007064,246152028,88928133.33333333
2018-12,8,845877400,16917548,376983672,105734675.0
2019-01,9,989026450,19780529,320837008,109891827.77777778
2019-02,15,3765848900,75316978,457609508,251056593.33333334
2019-03,9,831386900,16627738,137774702,92376322.22222222
2019-04,9,805024200,16100484,222593495,89447133.33333333
2019-05,9,1068002250,21360045,398178422,118666916.66666667
2019-06,8,1054768900,21095378,329456969,131846112.5
2019-07,9,970360300,19407206,459611641,107817811.1111111
2019-08,9,805249350,16104987,240545324,89472150.0
2019-09,8,1387806750,27756135,569737698,173475843.75
2019-10,9,1487941750,29758835,852777990,165326861.1111111
2019-11,9,877905000,17558100,247497991,97545000.0
2019-12,9,886939150,17738783,294561440,98548794.44444445
2020-01,15,2990189750,59803795,356160843,199345983.33333334
2020-02,10,1436114050,28722281,479436856,143611405.0
2020-03,9,1063224100,21264482,418426949,118136011.1111111
2020-04,8,1691914600,33838292,859329281,211489325.0
2020-05,9,1369267000,27385340,1070088576,152140777.7777778
2020-06,9,1142208600,22844172,192285504,126912066.66666667
2020-07,9,1032598600,20651972,202988683,114733177.77777778
2020-08,8,762043500,15240870,160436250,95255437.5
2020-09,9,1061192300,21223846,161612636,117910255.55555555
2020-10,9,1058328950,21166579,193359740,117592105.55555555
2020-11,8,864072400,17281448,343555754,108009050.0
2020-12,9,1061063200,21221264,488155897,117895911.1111111
2021-01,9,1081221750,21624435,399250603,120135750.0
2021-02,17,4027340250,80546805,621486856,236902367.6470588
2021-03,9,932784650,18655693,173095831,103642738.8888889
2021-04,9,854291150,17085823,168432754,94921238.8888889
2021-05,8,708530350,14170607,249578523,88566293.75
2021-06,9,785745350,15714907,393248628,87305038.8888889
2021-07,9,773010300,15460206,234886949,85890033.33333333
2021-08,9,1497893250,29957865,611643498,166432583.33333334
2021-09,8,1229808150,24596163,321012156,153726018.75
