月份,CCI,CCI來源
2026-01,83.69,https://rcted.ncu.edu.tw/cci/cci_1150127.pdf
2026-02,83.25,https://rcted.ncu.edu.tw/cci/cci_1150302.pdf
2026-03,79.27,https://rcted.ncu.edu.tw/cci/cci_1150327.pdf
2026-04,79.67,https://rcted.ncu.edu.tw/cci/cci_1150427.pdf
